,1st week,2nd week,3rd week,4th week
539,1.05,0.0,0.0,0.35
540,2.1,0.0,0.0,0.0
541,0.7,0.0,0.35,0.0
542,0.0,0.0,0.0,1.05
543,0.0,0.0,0.0,0.0
544,0.0,1.75,0.0,0.0
545,0.0,0.7,0.0,0.0
546,0.35,4.9,0.0,0.0
547,1.4,1.4,0.0,0.0
548,1.75,7.0,0.0,0.0
549,3.15,2.1,0.0,0.0
550,2.45,2.1,0.0,0.0
551,2.1,1.05,0.0,1.75
552,1.75,7.0,1.05,3.85
553,1.05,5.95,0.0,5.6
554,2.45,3.5,1.4,7.35
555,4.2,5.95,5.25,11.2
556,4.9,7.35,7.0,9.8
557,6.3,7.7,7.35,10.15
558,7.0,8.4,8.05,10.15
559,7.35,9.45,8.4,11.2
560,7.0,9.45,8.75,11.55
561,8.05,8.75,8.75,11.9
562,7.7,9.45,8.4,11.55
563,7.7,9.1,9.1,12.25
564,7.7,9.45,8.75,11.55
565,7.7,9.1,8.75,11.55
566,7.35,9.1,9.1,10.85
567,7.7,9.45,8.75,11.55
568,7.35,8.75,8.75,11.2
569,7.35,8.75,8.75,11.55
570,7.35,9.1,8.75,11.2
571,7.7,9.1,8.4,11.55
572,7.35,8.75,8.75,8.75
573,7.35,9.1,8.4,9.1
574,7.35,8.75,8.75,8.75
575,7.35,9.1,8.4,9.45
576,7.35,8.75,8.75,9.45
577,7.35,8.75,8.75,9.45
578,7.35,9.1,8.4,9.45
579,7.7,9.1,8.75,9.45
580,7.35,9.1,8.4,9.45
581,7.35,8.4,8.4,9.45
582,7.7,9.1,8.75,9.8
583,7.7,9.1,8.75,9.8
584,7.35,9.1,8.75,9.45
585,7.7,8.4,8.4,9.45
586,7.35,9.1,8.4,9.1
587,7.7,8.75,8.05,9.45
588,7.35,9.1,8.4,9.1
589,7.35,8.4,8.05,9.45
590,7.7,8.75,8.75,9.45
591,7.0,9.1,8.05,9.45
592,7.7,8.75,8.4,9.1
593,7.0,8.75,8.4,9.45
594,8.05,9.1,8.4,9.1
595,14.35,8.75,8.05,9.1
596,19.6,8.75,7.35,9.1
597,19.25,7.7,7.0,8.75
598,19.95,7.0,6.3,6.65
599,19.25,4.55,4.9,4.9
600,17.5,5.6,3.85,4.55
601,16.8,5.25,1.05,2.45
602,17.15,2.8,0.0,3.5
603,17.15,1.75,0.0,0.35
604,16.8,1.4,0.0,4.2
605,17.5,0.7,0.0,8.05
606,16.1,0.0,0.0,4.55
607,14.7,0.0,0.0,0.7
608,15.05,0.0,0.0,0.35
609,12.95,0.0,0.0,0.0
610,13.3,0.0,0.0,0.0
611,12.6,0.0,0.0,0.0
612,12.6,0.0,0.0,0.0
613,12.6,0.0,0.0,0.0
614,16.1,0.7,0.0,0.0
615,10.85,0.0,0.0,0.0
616,15.05,0.35,0.0,0.0
617,14.0,0.0,0.0,0.0
618,15.4,0.0,0.0,0.0
619,12.6,0.0,0.0,0.0
620,7.35,0.0,0.0,0.0
621,14.0,0.0,0.0,0.0
622,16.1,0.0,0.0,0.0
623,16.45,0.0,0.0,0.0
624,12.25,0.0,0.0,0.0
625,6.65,0.0,0.0,0.0
626,7.35,0.0,0.0,0.0
627,10.85,0.0,0.0,0.0
628,10.85,0.0,0.0,0.0
629,7.35,0.0,0.0,0.0
630,5.25,0.0,0.0,0.0
631,7.35,0.0,0.0,0.0
632,10.5,0.35,0.0,0.0
633,17.15,4.2,0.0,0.0
634,22.05,0.35,0.0,0.0
635,24.5,0.0,0.0,0.0
636,19.6,0.0,0.0,0.0
637,15.4,0.0,0.0,0.0
638,18.2,0.0,0.0,0.0
639,17.5,0.0,0.0,0.0
640,16.45,0.0,0.0,0.0
641,17.5,0.0,0.0,0.0
642,13.3,0.0,0.0,0.0
643,14.0,0.35,0.0,0.0
644,12.6,1.05,0.0,0.0
645,16.45,3.5,0.0,0.35
646,15.4,1.4,1.05,0.7
647,14.35,4.55,1.05,5.6
648,16.1,7.35,0.0,0.7
649,17.15,8.05,1.4,4.2
650,22.05,8.4,3.15,8.05
651,22.4,8.05,4.55,7.35
652,17.85,8.05,5.95,5.6
653,16.1,8.4,5.95,8.75
654,8.75,8.05,7.0,9.45
655,9.1,8.4,7.35,10.15
656,9.1,8.4,8.4,10.85
657,10.5,8.4,8.05,11.55
658,10.15,9.1,8.4,11.2
659,10.15,9.1,8.4,12.25
660,8.4,9.8,9.1,11.9
661,9.1,8.75,8.75,11.2
662,8.75,9.1,8.75,9.1
663,9.1,8.75,8.05,9.45
664,8.05,8.75,8.75,9.8
665,8.75,8.4,8.05,11.2
666,8.05,8.75,8.4,10.15
667,8.4,8.75,8.05,10.5
668,8.4,8.75,8.4,10.5
669,9.1,8.75,8.4,10.5
670,8.75,8.75,8.4,10.5
671,8.05,8.4,8.05,9.1
672,8.4,8.4,8.4,9.45
673,8.4,8.75,8.4,9.8
674,8.4,8.75,8.4,9.45
675,8.4,8.75,8.4,9.1
676,9.1,8.75,8.05,9.1
677,8.75,8.75,8.4,9.1
678,8.4,8.75,8.75,9.8
679,8.75,9.1,8.75,9.45
680,8.05,8.75,8.4,9.45
681,8.4,8.75,8.4,9.8
682,8.05,8.4,8.4,9.1
683,8.75,8.4,8.05,10.85
684,8.75,9.1,8.4,10.15
685,8.75,8.4,8.05,10.5
686,8.05,8.75,8.4,9.45
687,8.05,8.75,8.05,10.15
688,12.6,8.05,8.75,8.4
689,18.55,8.75,8.4,9.1
690,20.3,9.45,8.05,8.4
691,20.3,20.3,9.45,17.15
692,19.95,19.95,18.55,19.6
693,18.55,19.95,21.0,19.25
694,18.9,18.55,19.25,17.85
695,17.15,17.85,17.15,17.15
696,16.1,14.7,14.7,16.1
697,12.6,12.25,12.6,12.6
698,10.15,10.5,9.1,13.65
699,7.35,7.0,4.9,12.25
700,2.45,2.8,1.4,10.5
701,0.0,1.05,0.0,5.6
702,0.0,0.0,0.0,6.3
703,0.0,0.0,0.0,6.3
704,0.0,0.0,0.0,4.2
705,0.0,0.0,0.0,1.4
706,0.0,0.0,0.0,0.0
707,0.0,0.0,0.0,0.0
708,0.0,0.0,0.0,0.0
709,0.0,0.0,0.0,0.0
710,0.0,0.0,0.0,0.0
711,2.45,0.0,0.0,0.0
712,8.05,0.0,0.0,0.0
713,1.05,0.0,0.35,0.0
714,0.0,0.0,0.0,0.0
715,0.0,0.0,0.0,0.0
716,1.75,0.0,0.0,0.0
717,0.0,0.0,0.0,0.0
718,2.1,0.0,0.0,0.0
719,1.05,0.0,0.0,0.0
